CODGEO,code_departement,P10_POP1564,P10_CHOM1564,P15_POP1564,P15_CHOM1564,P21_POP1564,P21_CHOM1564,taux_chomage_2012,taux_chomage_2017,taux_chomage_2022
44102,44,1919.54782482106,51.8335255092399,1884.24164766232,84.4650674289851,2042.7317118105,99.6812361881113,2.7003,4.4827,4.8798
44103,44,4459.99767562998,444.416098765433,4422.08597847269,417.560207164437,4389.29581683763,287.96307613482,9.9645,9.4426,6.5606
44104,44,529.777509068924,15.9032648125756,555.890781988165,39.1355276212533,510.478350142521,18.6966288704953,3.0019,7.0401,3.6626
44105,44,239.0,22.0,235.0,25.0,226.203297180389,20.8513690900115,9.205,10.6383,9.218
44106,44,778.701613489594,49.8776196875688,880.671619749705,67.4812407802489,947.193148600395,69.3754720243026,6.4052,7.6625,7.3243
44107,44,1123.53424657534,68.3890410958904,1205.30362860192,98.6798292422624,1317.34508726751,73.3585483385227,6.087,8.1871,5.5687
44108,44,1693.1555379461,62.8260479722625,1805.14118250525,116.050428358143,1869.85705968867,95.7875720327417,3.7106,6.4289,5.1227
44109,44,201106.008062008,20150.2175704717,212376.957147464,25809.5762217102,224852.416808738,22686.9308147754,10.0197,12.1527,10.0897
44110,44,4821.63800440765,280.44238211126,5230.60465627721,347.341681370664,5754.55932081234,273.476884271226,5.8163,6.6406,4.7524
44111,44,1279.67711869717,60.8231601773359,1329.84235074627,86.1119402985075,1500.73291610574,74.9531645100533,4.753,6.4753,4.9944
44112,44,374.504347826088,20.2434782608696,389.776603505505,26.3085507464164,374.138891431285,22.7310841545887,5.4054,6.7496,6.0756
44113,44,2300.0,149.0,2403.0,215.0,2525.69670594781,178.69422284087,6.4783,8.9471,7.075
44114,44,15938.4311473506,996.021924808157,15565.4361118707,1235.17289293707,16683.5482977816,1190.58912876512,6.2492,7.9354,7.1363
44115,44,2111.71909830601,101.838099694068,2248.38026531132,156.303896335019,2384.26648480909,114.272241848585,4.8225,6.9518,4.7928
44116,44,1876.20102563607,177.92686121317,1875.75468623785,240.047328819586,1769.61128920634,158.780647113472,9.4834,12.7974,8.9726
44117,44,1929.24112233918,117.488370439197,2068.80023131253,138.784789796973,2145.13278058783,79.9758479287919,6.0899,6.7085,3.7282
44118,44,790.26086956522,69.9710144927538,786.155958025984,63.3006984394717,872.751736041948,50.0807697403629,8.8542,8.0519,5.7383
44119,44,1175.54700240291,76.9233776740161,1186.58422841478,89.6663144897819,1237.35977009906,68.3581175589978,6.5436,7.5567,5.5245
44120,44,2811.0,212.0,3104.0,288.0,3314.42703798852,223.554354505708,7.5418,9.2784,6.7449
44121,44,273.0,17.0,255.403187928674,25.9155937370886,263.298478892269,24.1054099456915,6.2271,10.1469,9.1552
44122,44,2257.18465909091,87.5335227272727,2359.57789502916,130.252707581227,2486.70536176933,113.862357573788,3.878,5.5202,4.5788
44123,44,556.65221878225,36.0072239422085,586.803662258393,48.9003051881994,611.147047733465,36.791188795258,6.4685,8.3333,6.02
44124,44,455.980922068023,36.9921254870928,489.323607427057,41.6445623342176,470.784644318982,31.803677882583,8.1126,8.5106,6.7555
44125,44,1227.10889350352,93.6214597503726,1080.41276185408,104.505373646855,1115.56214309462,99.943736152114,7.6294,9.6727,8.959
44126,44,2336.3376202478,123.922223230007,2346.63514380562,206.142504939979,2428.04479108323,229.692233555357,5.3041,8.7846,9.46
44127,44,1564.48316169429,57.5964213606608,1634.37004618077,95.3114701303324,1702.94429544005,97.4462751015377,3.6815,5.8317,5.7222
44128,44,2840.12713790855,202.612523001635,3128.92631093955,329.434558103529,3152.76322825212,267.958924904622,7.1339,10.5287,8.4992
44129,44,6157.0,453.0,6475.0,577.0,6713.21461763443,479.789921734711,7.3575,8.9112,7.1469
44130,44,3734.49210754698,139.570743802828,3666.61699901464,188.616444488829,4271.04833374116,240.449333804485,3.7373,5.1442,5.6297
44131,44,8303.68008224218,493.671281148188,8290.21129604421,664.617093758368,9312.9950691903,734.043603469632,5.9452,8.0169,7.8819
44132,44,6377.44465139013,504.787350400191,5974.16776751854,487.201065086349,6351.76386537743,556.845812014721,7.9152,8.1551,8.7668
44133,44,1759.26469527588,84.0461593941588,1922.36445737041,125.304532715065,1930.97960038761,97.8284112167127,4.7773,6.5183,5.0663
44134,44,587.507886435331,28.4574132492114,631.779257849667,37.1075166508087,667.727890255389,18.9423388770034,4.8438,5.8735,2.8368
44135,44,2648.77742628816,186.767284887215,2133.35317570043,249.210220141729,1626.97053918276,165.963967518155,7.0511,11.6816,10.2008
44136,44,717.57151695654,53.0423508234264,622.885167258392,64.7398198090577,566.921360628962,61.1441590104536,7.3919,10.3935,10.7853
44137,44,2037.30763630182,103.45857143388,2169.66821289774,119.536051660689,2149.38382404417,111.541099743594,5.0782,5.5094,5.1894
44138,44,592.883435582822,35.3374233128834,669.201072386059,49.0616621983914,751.625828158459,36.8834441664959,5.9603,7.3314,4.9072
44139,44,803.90243902439,60.4878048780488,904.685012380744,85.8748778972009,961.318096316417,41.5621696899653,7.5243,9.4922,4.3235
44140,44,985.228740936059,41.7297297297298,969.075490694426,64.8149181685101,991.457123608181,39.8465196483098,4.2355,6.6883,4.019
44141,44,722.204301075272,28.6021505376345,784.350992003291,55.4566933746137,824.178314782243,34.6121893156681,3.9604,7.0704,4.1996
44142,44,1099.72626674432,50.3465346534654,1183.48288572933,67.6556082148499,1281.10883510675,63.1521414891574,4.5781,5.7167,4.9295
44143,44,24742.4627685552,1975.76245307295,25182.4697526166,2288.50860304827,27325.8523694455,2209.50400661764,7.9853,9.0877,8.0858
44144,44,1297.14954994183,83.9604126926667,1352.60097225964,114.359848966558,1402.3331778094,76.8975165641859,6.4727,8.4548,5.4835
44145,44,1694.1242491655,83.1352638836655,1765.62034039421,124.022898961353,1987.15937385588,76.1443044685042,4.9073,7.0243,3.8318
44146,44,1385.0,92.0,1365.0,108.0,1257.21542233704,81.3545130566932,6.6426,7.9121,6.471
44148,44,453.706781721368,20.4628711572748,426.825135063626,44.1693108746576,411.474996364791,33.4220278402741,4.5102,10.3483,8.1225
