CODGEO,P22_POP,P16_POP,SUPERF,NAIS1621,DECE1621,P22_MEN,NAISD24,DECESD24,P22_LOG,P22_RP,P22_RSECOCC,P22_LOGVAC,P22_RP_PROP,MED_SL23,PR_MD60_23,P22_EMPLT,P22_EMPLT_SAL,P16_EMPLT,P22_POP1564,P22_CHOM1564,P22_ACT1564,ETTOT24,ETAZ24,ETBE24,ETFZ24,ETGU24,ETOQ24,ETTEF124,ETTEFP1024
85112,2805,2699,19.23,138,98,1258.40846117735,17,25,1522.70582331264,1258.40846117735,161.628002228889,102.669359906401,1073.76406075994,26850,s,307.001144627869,210.888911111132,329.041883663966,1679.00467937661,114.113721639705,1287.49455846021,80,5,3,16,50,6,67,4
85113,4887,4789,23.32,197,401,2346.15612800588,19,74,6273.70562662561,2346.15612800588,3778.95602186449,148.593476755243,1909.47094221008,26500,s,1806.36813212633,1353.74603126311,1786.95925273517,2698.16054624099,244.949540380283,2059.49632857437,308,24,24,44,200,16,209,30
85114,3046,2647,16.57,45,372,1716.31893101724,7,67,4817.8438021911,1716.31893101724,2936.51763664836,165.007234525506,1380.61070215676,28440,s,766.797243698047,546.206807643459,712.239160519152,1077.6739625527,97.5550784723416,700.301112736125,146,0,6,18,113,9,106,12
85115,647,613,8.27,43,21,268.636829071404,4,6,330.510072463909,268.636829071404,30.412272175977,31.4609712165279,220.128049266455,24390,s,172.045240159194,144.064589824559,180.144303691412,372.477752490788,17.5359533640701,297.393486157841,21,5,4,4,6,2,18,3
85116,483,440,11.5,21,28,216.530252774871,2,6,332.168803153206,216.530252774871,106.002004513474,9.63654586486127,187.390204981344,25200,s,68.5033302797551,32.4374972909647,35.0537444965756,258.181409651929,23.8816553809032,195.101859342219,15,5,0,2,7,1,10,0
85117,601,619,13.19,19,30,284,3,5,378,284,67,27,265,25300,s,101.09866581661,73.9369996419394,118.614821020674,340,18,258,17,3,2,3,7,2,12,2
85118,2285,2272,17.96,138,60,945,32,18,1032,945,31,56,805,27090,s,264.883285329802,182.096619928095,248.044531815451,1421,70,1163,44,1,3,12,22,6,31,7
85119,2572,2344,31.33,182,182,1063.38106136483,23,22,1145.17572740249,1063.38106136483,17.9768496786064,63.8178163590528,864.899372786105,26170,s,686.230037520635,553.448335329928,716.66000923438,1533.85152731032,61.6079011184948,1285.77138320396,68,13,5,8,33,9,51,9
85120,1512,1370,13.57,94,68,681.975399410239,13,9,904.887399410239,681.975399410239,186.792,36.12,533.905986446131,25400,s,289.471965661781,219.833912892351,286.808710567704,869.772447982312,76.641514617479,678.946212456224,36,5,5,7,16,3,28,5
85121,1050,1046,23.74,39,48,482,5,9,551,482,38,31,376,23070,s,170.021032692397,114.387876497161,194.859748316112,636,49,481,25,8,3,4,7,3,20,2
85123,296,276,8.38,17,14,132.90276067743,2,3,173.83064037805,132.90276067743,32.9696808699443,7.95819883067622,105.096724471636,24930,s,27.7579172524444,17.1627394259185,17.9613476382129,185.412618161363,14.5922849848145,144.024842339504,4,0,0,1,1,2,4,0
85125,383,383,10.37,18,13,155.806422706396,1,6,184.714143986999,155.806422706396,19.2718141870684,9.63590709353418,132.920111886632,23820,s,44.2695170693791,25.2814311514734,55.0802124708387,221.577818370854,14.3684414657031,165.523180136544,10,5,0,1,2,2,9,0
85126,1360,1318,11.72,81,45,573.640764223548,14,10,603.052655480865,573.640764223548,12.443492455019,16.9683988022987,453.915559853919,26360,s,230.25331106246,175.321615578779,235.457045543519,799.84492481911,43.9604992172358,635.961901161962,27,6,2,3,12,4,18,6
85127,2442,2495,38.05,77,268,1273.28599538094,13,57,3811.39860279948,1273.28599538094,2416.60721663786,121.505390780675,994.155316157087,27200,s,635.749211690857,448.347626235879,666.918440098504,1075.06950402617,85.9479695508324,720.874389239024,118,9,3,21,73,12,75,10
85128,9450,9467,31.52,340,906,4923.04192580544,44,164,5717.48576049809,4923.04192580544,244.996227731024,549.447606961627,2905.63199725916,24440,15,5893.01871860453,5300.16951914053,5733.49684428956,5098.45050036983,410.142810409997,3547.86821810265,424,6,30,38,296,54,292,97
85129,3671,3427,53.15,236,250,1496.03921791979,26,45,1617.1443854215,1496.03921791979,43.1052291107789,77.9999383909333,1124.58023595107,25760,s,917.687957151518,735.383928901279,800.116768026134,2256.15779459924,96.3183894779729,1843.95278685317,88,16,8,19,34,11,66,16
85130,1754,1483,18.13,125,58,758.464630246986,11,6,908.289391942407,758.464630246986,113.226346624784,36.5984150706371,559.947572689577,25090,s,449.609230898212,365.176745413155,390.379849274664,1119.29849203857,78.2345210565062,893.523565642336,47,13,7,6,18,3,39,4
85131,1461,1618,17.96,67,68,667.743036622837,6,9,755.823189245602,667.743036622837,46.0884519537723,41.9917006689925,564.996792416154,25220,s,168.264882178023,124.102830659657,155.264459629371,889.142296371827,70.6562199837999,677.905629165831,26,0,3,5,15,3,23,3
85132,757,765,17.66,39,82,332.708706603078,5,8,476.88405576002,332.708706603078,105.863018611741,38.3123305452014,268.239287475469,24960,s,148.115204551004,112.819836834019,177.318366031319,417.605575041552,29.2795920516255,324.644674724347,21,4,4,3,7,3,15,3
85133,895,956,20.33,28,133,422.578814957322,5,18,539.789373582246,422.578814957322,57.6750367836924,59.5355218412308,308.994892879587,24100,s,411.661985518016,320.220594303619,355.236154014461,445.1566425215,30.1398507540711,358.554363522348,48,7,1,6,25,9,35,7
85134,240,256,0.2,13,8,113.109461065574,3,3,146.109461065574,113.109461065574,18,15,82.8195185111373,26070,s,18.5139613484573,14.4834871730479,17.9997974965044,141.723135389966,11.8927619658326,122.924372430301,3,0,0,2,0,1,3,0
85135,2773,2823,25.65,178,235,1224.00249742094,23,39,1465.5771708819,1224.00249742094,124.325041153546,117.249632307409,934.522995615855,24760,s,689.72053255601,563.805864797488,727.420380384305,1525.08256151001,143.290523075398,1089.89678631162,99,7,8,13,55,16,71,19
85136,124,110,4.25,6,4,57.4634146341462,0,1,82.4634146341462,57.4634146341462,15,10,40.3252032520324,21910,s,17.1638498558147,13.1313295306115,8.94932362966188,66.5365853658535,11.0894308943089,52.4227642276421,2,0,0,0,1,1,2,0
