id_election,annee,code_commune,population_totale,revenu_median,taux_pauvrete,taux_chomage,nb_entreprises,taux_faits_securite_pour_mille
2012_legi_t1,2012,44216,4110,26060,,3.889975,134,
2012_legi_t1,2012,44217,6633,31380,,4.166076,261,7.960413
2012_legi_t1,2012,44218,687,25100,,7.276995,17,0
2012_legi_t1,2012,44219,,,,,,
2012_legi_t1,2012,44220,1716,26690,,4.994571,32,0
2012_legi_t1,2012,44221,1559,26740,,4.182042,27,0
2012_legi_t1,2012,44222,1258,26490,,9.139785,17,0
2012_legi_t1,2012,44223,3691,27620,,5.28995,104,2.107116
2012_legi_t1,2012,44224,1815,25070,,3.546099,35,0
2012_legi_t1,2012,49001,,,,,,
2012_legi_t1,2012,49002,2925,24540,,7.182941,101,3.132482
2012_legi_t1,2012,49003,1734,24260,,8.265699,59,0
2012_legi_t1,2012,49004,,,,,,
2012_legi_t1,2012,49005,,,,,,
2012_legi_t1,2012,49006,,,,,,
2012_legi_t1,2012,49007,157555,23930,22,10.537502,5368,2.457946
2012_legi_t1,2012,49008,917,23970,,8.545455,30,0
2012_legi_t1,2012,49009,450,25070,,4.827586,6,0
2012_legi_t1,2012,49010,317,26330,,7.106599,14,0
2012_legi_t1,2012,49011,410,27510,,6.734007,4,0
2012_legi_t1,2012,49012,349,23920,,4.824561,8,0
2012_legi_t1,2012,49013,,,,,,
2012_legi_t1,2012,49014,,,,,,
2012_legi_t1,2012,49015,15225,28520,10,7.789767,369,11.180975
2012_legi_t1,2012,49017,629,24930,,6.601483,11,0
2012_legi_t1,2012,49018,11747,24110,13,7.30065,382,4.201279
2012_legi_t1,2012,49019,,,,,,
2012_legi_t1,2012,49020,5618,28980,,5.518156,631,12.176495
2012_legi_t1,2012,49021,6893,25190,8,7.350064,234,4.252953
2012_legi_t1,2012,49022,1346,27030,,4.392993,50,0
2012_legi_t1,2012,49023,23887,25400,7.2,5.178643,708,2.20695
2012_legi_t1,2012,49024,,,,,,
2012_legi_t1,2012,49025,,,,,,
2012_legi_t1,2012,49026,2781,26270,,5.475572,96,0
2012_legi_t1,2012,49027,2115,25980,,5.894731,41,0
2012_legi_t1,2012,49028,119,25600,,7.594937,8,0
2012_legi_t1,2012,49029,1317,28740,,4.4331,32,0
2012_legi_t1,2012,49030,938,26080,,7.401575,19,0
2012_legi_t1,2012,49031,,,,,,
2012_legi_t1,2012,49032,,,,,,
2012_legi_t1,2012,49033,,,,,,
2012_legi_t1,2012,49034,,,,,,
2012_legi_t1,2012,49035,6635,32260,,5.647276,156,3.69289
2012_legi_t1,2012,49036,775,23780,,5.952381,11,0
2012_legi_t1,2012,49037,,,,,,
2012_legi_t1,2012,49038,236,22170,,4.477612,5,0
2012_legi_t1,2012,49039,,,,,,
2012_legi_t1,2012,49040,,,,,,
2012_legi_t1,2012,49041,2078,23430,,10.716876,44,3.097157
2012_legi_t1,2012,49042,,,,,,
2012_legi_t1,2012,49043,,,,,,
2012_legi_t1,2012,49044,,,,,,
2012_legi_t1,2012,49045,617,23320,,10.975893,16,0
2012_legi_t1,2012,49046,,,,,,
2012_legi_t1,2012,49047,,,,,,
2012_legi_t1,2012,49048,3193,28100,,3.588339,59,0
2012_legi_t1,2012,49049,,,,,,
2012_legi_t1,2012,49050,11000,27020,6,5.084907,325,4.326632
2012_legi_t1,2012,49051,,,,,,
2012_legi_t1,2012,49052,,,,,,
2012_legi_t1,2012,49053,348,24580,,6.989247,8,0
2012_legi_t1,2012,49054,2815,24000,,8.56745,102,0
2012_legi_t1,2012,49055,2397,29100,,5.834564,60,0
